Nome,Email,Telefone,Usuario,Senha,Matricula,ContaCorrente,DataNascimento
Georgi,facello.georgi@acme.com,67 9687-0001,Facello,1235,981,1923-01,1986-06-26 00:00:00.000
Bezalel,simmel.bezalel@acme.com,67 9687-0002,Simmel,1236,982,1923-02,1985-11-21 00:00:00.000
Parto,bamford.parto@acme.com,67 9687-0003,Bamford,1237,983,1923-03,1986-08-28 00:00:00.000
Chirstian,koblick.chirstian@acme.com,67 9687-0004,Koblick,1238,984,1923-04,1986-12-01 00:00:00.000
Kyoichi,maliniak.kyoichi@acme.com,67 9687-0005,Maliniak,1239,985,1923-05,1989-09-12 00:00:00.000
Anneke,preusig.anneke@acme.com,67 9687-0006,Preusig,1240,986,1923-06,1989-06-02 00:00:00.000
Tzvetan,zielinski.tzvetan@acme.com,67 9687-0007,Zielinski,1241,987,1923-07,1989-02-10 00:00:00.000
Saniya,kalloufi.saniya@acme.com,67 9687-0008,Kalloufi,1242,988,1923-08,1994-09-15 00:00:00.000
Sumant,peac.sumant@acme.com,67 9687-0009,Peac,1243,989,1923-09,1985-02-18 00:00:00.000
Duangkaew,piveteau.duangkaew@acme.com,67 9687-0010,Piveteau,1244,990,1923-10,1989-08-24 00:00:00.000
Mary,sluis.mary@acme.com,67 9687-0011,Sluis,1245,991,1923-11,1990-01-22 00:00:00.000
Patricio,bridgland.patricio@acme.com,67 9687-0012,Bridgland,1246,992,1923-12,1992-12-18 00:00:00.000
Eberhardt,terkki.eberhardt@acme.com,67 9687-0013,Terkki,1247,993,1923-13,1985-10-20 00:00:00.000
Berni,genin.berni@acme.com,67 9687-0014,Genin,1248,994,1923-14,1987-03-11 00:00:00.000
Guoxiang,nooteboom.guoxiang@acme.com,67 9687-0015,Nooteboom,1249,995,1923-15,1987-07-02 00:00:00.000
Kazuhito,cappelletti.kazuhito@acme.com,67 9687-0016,Cappelletti,1250,996,1923-16,1995-01-27 00:00:00.000
Cristinel,bouloucos.cristinel@acme.com,67 9687-0017,Bouloucos,1251,997,1923-17,1993-08-03 00:00:00.000
Kazuhide,peha.kazuhide@acme.com,67 9687-0018,Peha,1252,998,1923-18,1987-04-03 00:00:00.000
Lillian,haddadi.lillian@acme.com,67 9687-0019,Haddadi,1253,999,1923-19,1999-04-30 00:00:00.000
Mayuko,warwick.mayuko@acme.com,67 9687-0020,Warwick,1254,1000,1923-20,1991-01-26 00:00:00.000
Ramzi,erde.ramzi@acme.com,67 9687-0021,Erde,1255,1001,1923-21,1988-02-10 00:00:00.000
Shahaf,famili.shahaf@acme.com,67 9687-0022,Famili,1256,1002,1923-22,1995-08-22 00:00:00.000
Bojan,montemayor.bojan@acme.com,67 9687-0023,Montemayor,1257,1003,1923-23,1989-12-17 00:00:00.000
Suzette,pettey.suzette@acme.com,67 9687-0024,Pettey,1258,1004,1923-24,1997-05-19 00:00:00.000
Prasadram,heyers.prasadram@acme.com,67 9687-0025,Heyers,1259,1005,1923-25,1987-08-17 00:00:00.000
Yongqiao,berztiss.yongqiao@acme.com,67 9687-0026,Berztiss,1260,1006,1923-26,1995-03-20 00:00:00.000
Divier,reistad.divier@acme.com,67 9687-0027,Reistad,1261,1007,1923-27,1989-07-07 00:00:00.000
Domenick,tempesti.domenick@acme.com,67 9687-0028,Tempesti,1262,1008,1923-28,1991-10-22 00:00:00.000
Otmar,herbst.otmar@acme.com,67 9687-0029,Herbst,1263,1009,1923-29,1985-11-20 00:00:00.000
Elvis,demeyer.elvis@acme.com,67 9687-0030,Demeyer,1264,1010,1923-30,1994-02-17 00:00:00.000
Karsten,joslin.karsten@acme.com,67 9687-0031,Joslin,1265,1011,1923-31,1991-09-01 00:00:00.000
Jeong,reistad.jeong@acme.com,67 9687-0032,Reistad,1266,1012,1923-32,1990-06-20 00:00:00.000
Arif,merlo.arif@acme.com,67 9687-0033,Merlo,1267,1013,1923-33,1987-03-18 00:00:00.000
Bader,swan.bader@acme.com,67 9687-0034,Swan,1268,1014,1923-34,1988-09-21 00:00:00.000
Alain,chappelet.alain@acme.com,67 9687-0035,Chappelet,1269,1015,1923-35,1988-09-05 00:00:00.000
Adamantios,portugali.adamantios@acme.com,67 9687-0036,Portugali,1270,1016,1923-36,1992-01-03 00:00:00.000
